Date,Qty
2022-11-10,184.0
2022-11-11,297.5
2022-11-12,85.0
2022-11-14,201.0
2022-11-15,304.0
2022-11-16,246.0
2022-11-17,295.5
2022-11-18,256.0
2022-11-19,296.0
2022-11-21,268.5
2022-11-22,270.0
2022-11-23,323.0
2022-11-24,329.0
2022-11-25,643.0
2022-11-26,703.0
2022-11-28,590.0
2022-11-29,1113.0
2022-11-30,3078.0
2022-12-01,6.0
2022-12-02,13.0
2022-12-03,14.5
2022-12-05,150.5
2022-12-06,197.5
2022-12-07,236.5
2022-12-08,465.0
2022-12-09,82.0
2022-12-10,224.0
2022-12-12,148.0
2022-12-13,244.0
2022-12-14,102.5
2022-12-15,391.5
2022-12-16,391.5
2022-12-17,469.5
2022-12-19,843.0
2022-12-20,1828.5
2022-12-21,1952.0
2022-12-22,1663.5
2022-12-23,5060.0
2022-12-24,7699.0
2022-12-25,51.0
2022-12-26,3649.5
2022-12-27,3377.0
2022-12-28,3581.5
2022-12-29,5192.0
2022-12-30,4863.5
2022-12-31,3130.0
2023-01-03,1.5
2023-01-04,58.0
2023-01-05,9.5
2023-01-06,483.0
2023-01-07,87.0
2023-01-09,454.5
2023-01-10,976.5
2023-01-11,1164.0
2023-01-12,857.0
2023-01-13,1120.5
2023-01-14,731.5
2023-01-16,195.0
2023-01-17,643.0
2023-01-18,1252.0
2023-01-19,938.5
2023-01-20,860.0
2023-01-21,547.0
2023-01-22,250.0
2023-01-23,601.5
2023-01-24,1140.0
2023-01-25,822.0
2023-01-26,40.0
2023-01-27,1765.0
2023-01-28,368.0
2023-01-29,342.0
2023-01-30,1207.0
2023-01-31,3451.0
2023-02-02,27.5
2023-02-03,618.0
2023-02-04,354.5
2023-02-06,516.0
2023-02-07,301.5
2023-02-08,238.5
2023-02-09,501.5
2023-02-10,357.5
2023-02-11,336.0
2023-02-13,463.0
2023-02-14,1423.5
2023-02-15,1700.5
2023-02-16,1422.0
